27958270
30.0,20,0,0,0,0,0,0,0,663,0.6666666666666666,0.06666666666666667,0.53333333333333333,0.014575800000000028,5.1200000000006794e-05,0.0
2.0,-,87574,0,87980,rejected,no
2.0,-,80814,0,0,-,no
2.0,-,28007,0,0,-,no
2.0,-,34084,0,0,-,no
2.0,-,55000,0,0,-,no
2.0,-,61145,0,0,-,no
2.0,-,46735,0,0,-,no
2.0,-,3866,0,0,-,no
2.0,-,32464,0,0,-,no
2.0,-,14092,0,0,-,no
2.0,-,34624,0,0,-,no
2.0,-,63079,0,0,-,no
2.0,-,48957,0,0,-,no
2.0,-,35580,0,0,-,no
2.0,-,32970,0,0,-,no
2.0,-,14256,0,0,-,no
2.0,-,14442,0,0,-,no
2.0,-,10252,0,0,-,no
2.0,-,34709,0,0,-,no
2.0,-,1860,1,2115,rejected,no
26.375211,-,[1040],0,rejected,no,1882,0
26.416878,-,[258],0,rejected,no,1886,0
26.458545,-,[51],0,rejected,no,1890,0
26.500212,-,[1007],0,rejected,no,1894,0
26.541879,-,[126],0,rejected,no,1898,0
26.583546,-,[473],0,rejected,no,1902,0
26.625213,-,[19],0,rejected,no,1908,0
26.66688,-,[675],0,rejected,no,1912,0
26.708547,-,[575],0,rejected,no,1916,0
26.750214,-,[472],0,rejected,no,1921,0
26.791881,-,[1254],0,rejected,no,1925,0
26.833548,-,[107],0,rejected,no,1930,0
26.875215,-,[1375],0,rejected,no,1935,0
26.916882,-,[1397],0,rejected,no,1939,0
26.958549,-,[783],0,rejected,no,1944,0
27.000216,-,[572],0,rejected,no,1950,0
27.041883,-,[39],0,rejected,no,1955,0
27.08355,-,[857],0,rejected,no,1960,0
27.125217,-,[170],0,rejected,no,1967,0
27.166884,-,[1076],0,rejected,no,1972,0
27.208551,-,[455],0,rejected,no,1977,0
27.250218,-,[260],0,rejected,no,1983,0
27.291885,-,[1387],0,rejected,no,1987,0
27.333552,-,[758],0,rejected,no,1991,0
27.375219,-,[709],0,rejected,no,1996,0
27.416886,-,[779],0,rejected,no,2000,0
27.458553,-,[401],0,rejected,no,2004,0
27.50022,-,[1182],0,rejected,no,2008,0
27.541887,-,[1184],0,rejected,no,2011,0
27.583554,-,[990],0,rejected,no,2014,0
27.625221,-,[1202],0,rejected,no,2019,0
27.666888,-,[868],0,rejected,no,2022,0
27.708555,-,[829],0,rejected,no,2025,0
27.750222,-,[121],0,rejected,no,2029,0
27.791889,-,[616],0,rejected,no,2032,0
27.833556,-,[565],0,rejected,no,2035,0
27.875223,-,[1177],0,rejected,no,2038,0
27.91689,-,[529],0,rejected,no,2041,0
27.958557,-,[966],0,rejected,no,2044,0
28.000224,-,[405],0,rejected,no,2048,0
28.041891,-,[774],0,rejected,no,2051,0
28.083558,-,[802],0,rejected,no,2054,0
28.125225,-,[974],0,rejected,no,2059,0
28.166892,-,[9],0,rejected,no,2063,0
28.208559,-,[349],0,rejected,no,2067,0
28.250226,-,[48],0,rejected,no,2072,0
28.291893,-,[583],0,rejected,no,2076,0
28.33356,-,[349],0,rejected,no,2080,0
28.375227,-,[1327],0,rejected,no,2084,0
28.416894,-,[1316],0,rejected,no,2087,0
28.458561,-,[1099],0,rejected,no,2090,0
28.500228,-,[1231],0,rejected,no,2094,0
28.541895,-,[180],0,rejected,no,2098,0
28.583562,-,[552],0,rejected,no,2102,0
28.625229,-,[1258],0,rejected,no,2107,0
28.666896,-,[1459],0,rejected,no,2110,0
28.708563,-,[1157],0,rejected,no,2113,0
28.75023,-,[615],0,rejected,no,2117,0
28.791897,-,[888],0,rejected,no,2120,0
28.833564,-,[560],0,rejected,no,2123,0
28.875231,-,[430],0,rejected,no,2127,0
28.916898,-,[184],0,rejected,no,2131,0
28.958565,-,[709],0,rejected,no,2135,0
29.000232,-,[1015],0,rejected,no,2140,0
29.041899,-,[1239],0,rejected,no,2142,0
29.083566,-,[1095],0,rejected,no,2144,0
29.125233,-,[1119],0,rejected,no,2148,0
29.1669,-,[1059],0,rejected,no,2150,0
29.208567,-,[974],0,rejected,no,2152,0
29.250234,-,[197],0,rejected,no,2155,0
29.291901,-,[1084],0,rejected,no,2157,0
29.333568,-,[953],0,rejected,no,2159,0
29.375235,-,[1412],0,rejected,no,2161,0
29.416902,-,[608],0,rejected,no,2163,0
29.458569,-,[412],0,rejected,no,2165,0
29.500236,-,[871],0,rejected,no,2167,0
29.541903,-,[155],0,rejected,no,2169,0
29.58357,-,[157],0,rejected,no,2171,0
29.625237,-,[263],0,rejected,no,2174,0
29.666904,-,[1377],0,rejected,no,2175,0
29.708571,-,[1295],0,rejected,no,2176,0
29.750238,-,[274],0,rejected,no,2178,0
29.791905,-,[1287],0,rejected,no,2179,0
29.833572,-,[1263],0,rejected,no,2180,0
29.875239,-,[376],0,rejected,no,2182,0
29.916906,-,[1415],0,rejected,no,2183,0
29.958573,-,[1466],0,rejected,no,2184,0
